player_id,sessions_per_week,avg_session_minutes,hours_per_session,total_weeks_active,total_playtime_hours,total_activity_minutes,achievements_unlocked,purchases_made,xp_earned,player_level,friends_count,quests_completed,items_crafted,chat_messages,days_since_last_login,toxicity_reports,clan_participation_rate,monetisation_score,engagement_score,noise_uniform_1,noise_uniform_2,noise_gauss_1,label
33,16,84.9,1.42,1,22.72,1358,42,0,1987,24,90,36,13,241,20,1,0.312,0.0,0.486,0.4629,0.3661,-0.5789,1
34,2,54.9,0.91,39,70.98,4282,36,2,1454,8,0,2,11,172,34,0,0.379,3.82,0.241,0.573,0.0529,-0.6048,1
35,7,105.1,1.75,37,453.25,27221,49,0,2474,25,38,27,17,125,46,0,0.281,0.0,0.379,0.4177,0.7491,1.9936,1
36,6,39.6,0.66,16,63.36,3802,10,1,1829,13,15,10,13,15,19,1,0.363,1.66,0.416,0.0073,0.7643,-1.0314,0
37,10,31.7,0.53,29,153.7,9193,0,0,740,44,62,0,0,0,17,0,0.175,0.0,0.223,0.7079,0.4909,-0.2668,0
38,5,24.9,0.42,36,75.6,4482,32,0,1283,6,120,1,15,34,30,0,0.0,0.0,0.126,0.6087,0.5419,-0.3372,0
39,8,85.7,1.43,32,366.08,21939,4,0,1577,34,168,24,6,48,0,4,0.188,0.0,0.413,0.9081,0.95,-0.5661,1
40,13,85.5,1.42,16,295.36,17784,70,0,2438,32,21,22,17,55,7,1,0.0,0.0,0.303,0.7834,0.7202,1.1405,1
41,12,50.7,0.85,20,204.0,12168,0,1,1979,32,18,18,0,180,32,0,0.236,1.85,0.436,0.2081,0.2701,1.2769,0
42,9,5.0,0.08,41,29.52,1845,0,0,1123,27,86,15,3,0,0,0,0.255,0.0,0.31,0.0998,0.0019,0.0532,0
43,5,76.8,1.28,30,192.0,11520,16,0,3486,37,94,0,31,250,30,0,0.379,0.0,0.19,0.6453,0.2164,0.8902,1
44,4,60.3,1.0,22,88.0,5306,41,0,2009,18,24,0,0,0,0,1,0.687,0.0,0.392,0.4623,0.5325,0.697,0
45,6,5.0,0.08,1,0.48,30,40,6,1814,40,141,22,37,34,0,0,0.0,6.48,0.167,0.9685,0.7123,-0.6581,0
46,10,91.0,1.52,30,456.0,27300,4,5,2645,16,69,0,10,187,24,0,0.292,12.6,0.224,0.3554,0.8595,-0.1261,1
47,6,29.8,0.5,5,15.0,894,29,2,2954,1,99,22,25,78,52,3,0.067,3.0,0.305,0.0836,0.6125,-0.735,1
48,8,57.8,0.96,13,99.84,6011,5,0,1691,17,123,13,19,18,11,0,0.492,0.0,0.361,0.737,0.8062,-1.7812,0
49,10,59.7,1.0,33,330.0,19701,52,2,0,28,151,12,6,0,20,0,0.0,4.0,0.193,0.8979,0.1907,-1.0899,1
50,6,65.1,1.08,38,246.24,14843,20,2,1519,24,38,14,0,257,64,0,0.097,4.16,0.424,0.411,0.9912,1.6483,0
51,8,45.5,0.76,46,279.68,16744,21,1,2021,47,0,13,19,29,16,0,0.294,1.76,0.243,0.0852,0.0752,-1.4109,1
52,5,53.5,0.89,21,93.45,5618,36,0,1889,1,18,18,11,104,67,0,0.35,0.0,0.36,0.3481,0.8123,-1.1944,0
53,6,56.9,0.95,19,108.3,6487,32,1,2264,32,0,0,0,0,19,2,0.38,1.95,0.46,0.1975,0.2456,2.6253,0
54,10,46.4,0.77,8,61.6,3712,15,1,797,18,48,14,1,115,39,0,0.137,1.77,0.327,0.1747,0.7679,-2.1113,0
55,5,52.3,0.87,17,73.95,4446,29,1,2400,41,29,3,0,86,33,1,0.346,1.87,0.209,0.8873,0.0351,-0.9893,0
56,10,51.3,0.86,16,137.6,8208,0,0,1263,60,112,0,6,117,0,1,0.0,0.0,0.288,0.9591,0.3162,0.4246,0
57,12,113.0,1.88,28,631.68,37968,14,5,1648,26,0,2,16,26,27,2,0.378,14.4,0.329,0.0792,0.8939,-1.4076,1
58,8,50.8,0.85,34,231.2,13818,47,1,2239,36,98,1,15,62,34,1,0.289,1.85,0.215,0.6832,0.9607,0.1703,0
59,7,31.9,0.53,7,25.97,1563,43,0,1721,42,143,27,12,163,37,0,0.0,0.0,0.264,0.8755,0.3963,0.7582,0
60,10,72.6,1.21,20,242.0,14520,10,6,3397,29,73,6,24,110,8,0,0.33,13.26,0.281,0.1228,0.4374,-0.326,1
61,8,91.3,1.52,20,243.2,14608,0,1,1107,44,59,0,14,159,0,0,0.0,2.52,0.445,0.6279,0.8632,-0.8253,0
62,12,30.8,0.51,18,110.16,6653,47,0,1416,24,48,25,19,83,2,0,0.732,0.0,0.426,0.1837,0.2473,-0.0749,0
63,5,69.3,1.16,26,150.8,9009,1,1,1111,27,20,7,9,110,0,1,0.173,2.16,0.327,0.1653,0.0732,-1.0514,0
64,9,40.6,0.68,1,6.12,365,26,0,1246,14,77,0,0,19,84,1,0.326,0.0,0.285,0.3725,0.3905,-0.7667,0
65,1,63.1,1.05,1,1.05,63,45,1,1264,25,68,10,12,260,0,0,0.152,2.05,0.329,0.8496,0.636,1.6025,0
66,10,50.5,0.84,1,8.4,505,17,0,708,61,70,5,10,0,46,0,0.221,0.0,0.295,0.5664,0.4664,-0.9778,0
67,3,79.4,1.32,26,102.96,6193,15,0,602,47,15,7,11,0,20,1,0.085,0.0,0.274,0.7984,0.6385,0.4546,0
68,8,68.5,1.14,42,383.04,23016,28,4,1489,57,9,18,15,0,11,3,0.295,8.56,0.294,0.2953,0.6318,-0.4061,1
69,6,47.0,0.78,1,4.68,282,6,0,1881,32,35,0,13,130,0,1,0.0,0.0,0.275,0.2455,0.2574,1.2997,0
70,10,120.7,2.01,28,562.8,33796,33,0,3288,25,72,26,9,103,0,0,0.535,0.0,0.426,0.5131,0.8825,0.1282,1
71,17,82.3,1.37,26,605.54,36377,0,2,2065,14,74,24,16,0,34,2,0.403,4.74,0.441,0.6457,0.7456,1.2031,0
72,7,71.1,1.18,41,338.66,20406,41,1,2646,26,77,0,0,216,0,3,0.268,2.18,0.387,0.9615,0.749,1.2482,1
73,8,109.1,1.82,53,771.68,46258,1,4,1908,11,0,26,15,197,0,2,0.169,11.28,0.219,0.1639,0.9564,-1.1686,1
74,2,64.0,1.07,13,27.82,1664,29,2,2086,30,122,9,11,171,9,0,0.114,4.14,0.366,0.2591,0.7816,-0.5268,0
75,7,52.2,0.87,4,24.36,1462,36,2,1227,21,71,3,24,144,12,1,0.354,3.74,0.474,0.1831,0.5011,-0.5077,0
76,8,46.4,0.77,16,98.56,5939,52,0,2763,10,18,0,4,203,41,1,0.123,0.0,0.302,0.8064,0.7088,-2.1552,0
77,4,69.2,1.15,23,105.8,6366,29,0,1886,25,9,9,11,0,0,0,0.0,0.0,0.354,0.2805,0.024,-0.6723,0
78,1,112.0,1.87,22,41.14,2464,15,0,1157,13,0,0,0,19,0,0,0.218,0.0,0.21,0.4522,0.9707,1.449,0
79,6,54.1,0.9,1,5.4,325,8,2,2653,42,65,18,14,64,3,1,0.081,3.8,0.159,0.2254,0.0816,-1.7438,0
80,14,65.4,1.09,46,701.96,42118,10,0,2170,27,101,4,42,71,0,1,0.189,0.0,0.285,0.7479,0.8107,0.6671,0
81,10,33.6,0.56,29,162.4,9744,19,2,1776,29,12,19,0,150,0,0,0.381,3.12,0.484,0.221,0.6745,-0.1363,0
82,12,35.2,0.59,4,28.32,1690,20,1,1652,35,68,7,18,0,47,1,0.228,1.59,0.462,0.9419,0.6583,-1.0663,0
83,4,29.1,0.49,30,58.8,3492,5,0,1071,32,55,27,10,0,7,1,0.447,0.0,0.239,0.4446,0.1546,0.95,0
84,13,53.5,0.89,1,11.57,696,24,1,3195,46,32,8,19,0,21,0,0.059,1.89,0.232,0.4153,0.1162,-0.4131,0
85,12,50.3,0.84,61,614.88,36820,9,5,1201,20,77,6,0,65,0,0,0.29,9.2,0.2,0.8136,0.553,1.2943,1
86,9,93.1,1.55,16,223.2,13406,22,0,1595,44,7,26,19,0,45,1,0.49,0.0,0.527,0.1146,0.0282,1.0014,0
87,14,61.9,1.03,25,360.5,21665,17,0,2155,24,0,7,2,134,9,0,0.488,0.0,0.353,0.907,0.3031,0.6022,1
88,4,59.0,0.98,27,105.84,6372,16,3,2186,2,70,0,26,173,26,0,0.375,5.94,0.362,0.4541,0.8943,-2.491,0
89,9,64.4,1.07,7,67.41,4057,37,0,1886,1,4,10,17,116,0,1,0.037,0.0,0.21,0.3233,0.6248,0.9426,0
90,5,63.7,1.06,6,31.8,1911,14,4,2260,28,86,0,9,0,41,1,0.233,8.24,0.219,0.9719,0.5059,1.7373,0
91,9,71.1,1.18,8,84.96,5119,25,0,1171,62,7,3,3,229,10,0,0.208,0.0,0.422,0.6263,0.7964,-1.3031,0
92,13,57.4,0.96,35,436.8,26117,5,1,1461,29,54,13,0,162,5,0,0.253,1.96,0.372,0.5603,0.5505,-0.754,0
93,12,75.6,1.26,32,483.84,29030,5,1,835,32,0,26,0,0,9,3,0.118,2.26,0.349,0.6399,0.8926,0.1311,1
94,7,57.4,0.96,28,188.16,11250,17,0,2006,32,23,2,12,194,22,0,0.121,0.0,0.415,0.1623,0.717,0.2972,0
95,14,64.4,1.07,1,14.98,902,19,2,1715,59,115,10,16,13,2,0,0.199,4.14,0.479,0.1836,0.6154,1.1206,1
96,7,14.3,0.24,20,33.6,2002,44,0,2473,44,44,17,12,84,0,0,0.334,0.0,0.402,0.8134,0.0951,-0.1084,0
97,9,54.6,0.91,38,311.22,18673,37,0,2088,4,77,17,36,130,42,0,0.0,0.0,0.349,0.7479,0.9299,0.4501,1
98,11,53.9,0.9,26,257.4,15415,34,2,2420,43,23,0,22,57,7,0,0.221,3.8,0.403,0.8493,0.0686,0.939,1
99,6,50.2,0.84,3,15.12,904,21,0,1807,13,96,18,26,0,27,1,0.568,0.0,0.386,0.4476,0.7078,0.4561,1
100,9,70.9,1.18,20,212.4,12762,12,3,2832,52,123,11,19,125,14,0,0.042,6.54,0.222,0.7153,0.6553,0.128,1
101,7,89.0,1.48,20,207.2,12460,52,2,1920,68,108,21,13,0,49,1,0.223,4.96,0.305,0.1402,0.6413,1.0323,1
102,12,85.0,1.42,4,68.16,4080,41,2,2188,20,23,17,0,65,9,1,0.0,4.84,0.421,0.6922,0.0987,-0.729,0
103,6,45.8,0.76,21,95.76,5771,30,0,2743,6,77,12,17,0,0,0,0.118,0.0,0.38,0.1689,0.323,-0.432,0
104,5,47.7,0.8,10,40.0,2385,26,0,2084,41,64,14,7,53,53,0,0.035,0.0,0.343,0.7629,0.4848,1.728,0
105,2,76.8,1.28,30,76.8,4608,22,1,2768,32,86,24,6,0,34,0,0.508,2.28,0.242,0.3972,0.6021,-1.4497,1
106,1,61.0,1.02,5,5.1,305,12,1,2837,20,18,6,12,173,48,0,0.0,2.02,0.103,0.6121,0.1835,0.8399,0
107,7,79.9,1.33,10,93.1,5593,6,0,1724,16,35,9,9,0,0,0,0.378,0.0,0.354,0.9775,0.0739,-0.3108,0
108,10,96.9,1.62,37,599.4,35853,1,0,3049,37,118,22,25,74,47,0,0.564,0.0,0.472,0.6833,0.8025,1.1179,0
109,7,95.0,1.58,20,221.2,13300,24,3,2972,25,104,2,3,45,33,0,0.532,7.74,0.318,0.9399,0.2235,1.4431,1
110,14,46.3,0.77,29,312.62,18798,38,2,2435,43,33,26,19,108,62,0,0.04,3.54,0.43,0.8352,0.1421,-0.7398,0
111,6,20.1,0.34,1,2.04,121,13,1,1252,30,107,8,10,110,4,0,0.393,1.34,0.219,0.175,0.1913,-0.0731,0
112,11,30.1,0.5,13,71.5,4304,3,4,1679,1,115,11,15,341,12,0,0.276,6.0,0.305,0.8503,0.0819,0.0982,1
113,3,95.5,1.59,26,124.02,7449,19,0,1377,7,123,7,12,0,1,1,0.0,0.0,0.192,0.7371,0.5903,-1.3906,0
114,7,9.5,0.16,36,40.32,2394,27,4,2376,1,185,0,1,47,18,0,0.498,4.64,0.332,0.1974,0.7797,-1.5904,0
115,9,63.3,1.06,24,228.96,13673,18,0,2965,56,69,11,11,0,44,0,0.396,0.0,0.405,0.7734,0.0681,-0.4284,1
116,8,60.3,1.0,21,168.0,10130,25,2,1237,38,5,18,5,72,54,0,0.14,4.0,0.33,0.3503,0.7176,0.3361,0
117,10,114.8,1.91,15,286.5,17220,6,1,2526,1,172,11,22,138,0,2,0.391,2.91,0.503,0.5939,0.1918,-1.1792,1
118,5,56.7,0.94,9,42.3,2552,28,5,726,8,16,5,15,0,0,0,0.033,9.7,0.248,0.5277,0.3018,-1.2377,0
119,8,40.8,0.68,14,76.16,4570,13,0,2428,26,9,19,13,182,0,0,0.0,0.0,0.13,0.5029,0.4259,-0.3471,0
120,9,52.2,0.87,1,7.83,470,5,0,805,28,69,23,15,80,0,0,0.527,0.0,0.321,0.2178,0.9584,0.0075,0
121,4,30.2,0.5,24,48.0,2899,3,2,2000,30,0,7,34,25,13,1,0.058,3.0,0.206,0.1215,0.0777,-1.7717,0
122,2,80.9,1.35,13,35.1,2103,6,1,2499,47,97,19,18,9,0,0,0.0,2.35,0.098,0.3363,0.7796,0.7204,0
123,1,72.4,1.21,27,32.67,1955,23,4,2582,32,84,18,7,92,11,0,0.055,8.84,0.131,0.8541,0.3179,-0.0844,0
124,7,82.8,1.38,25,241.5,14490,19,1,1859,52,0,3,20,127,55,1,0.0,2.38,0.205,0.0624,0.9166,-1.0887,0
125,7,70.2,1.17,1,8.19,491,0,3,2577,29,109,24,0,66,42,1,0.235,6.51,0.423,0.2303,0.5306,1.5549,0
126,5,71.6,1.19,23,136.85,8234,37,1,594,66,43,18,0,0,15,0,0.0,2.19,0.179,0.4095,0.5996,-0.5065,1
127,9,24.8,0.41,17,62.73,3794,15,0,394,9,0,20,24,0,42,0,0.202,0.0,0.17,0.6788,0.9697,-0.5751,0
128,12,60.0,1.0,13,156.0,9360,53,1,1215,5,67,29,14,133,13,0,0.249,2.0,0.361,0.361,0.4832,-1.3402,1
129,5,48.2,0.8,19,76.0,4579,49,3,1501,26,20,0,0,40,25,0,0.0,5.4,0.23,0.2374,0.6202,0.5557,0
130,6,64.1,1.07,1,6.42,385,0,0,1843,13,43,0,5,29,16,0,0.209,0.0,0.38,0.105,0.7656,-0.2757,0
131,13,84.6,1.41,14,256.62,15397,44,0,1602,9,110,24,46,51,45,1,0.316,0.0,0.556,0.5474,0.8483,-1.8979,1
132,14,77.3,1.29,35,632.1,37877,53,0,2493,6,98,0,6,0,4,0,0.458,0.0,0.496,0.4832,0.6713,0.135,0
133,16,62.6,1.04,1,16.64,1002,35,0,1535,21,10,0,0,7,10,1,0.061,0.0,0.409,0.9748,0.2506,-0.1008,0
134,7,67.4,1.12,32,250.88,15098,20,1,2287,33,57,29,15,19,0,0,0.141,2.12,0.338,0.5051,0.0722,1.3569,0
135,12,58.1,0.97,39,453.96,27191,19,1,1623,98,0,16,20,454,0,1,0.0,1.97,0.455,0.6815,0.7585,0.7309,1
136,3,62.3,1.04,47,146.64,8784,40,2,885,45,0,20,5,98,30,0,0.631,4.08,0.324,0.3992,0.447,-1.6685,1
137,15,46.7,0.78,14,163.8,9807,23,4,1740,38,8,9,10,0,0,0,0.878,7.12,0.549,0.9378,0.5713,1.4044,0
138,6,93.9,1.57,18,169.56,10141,9,2,1136,27,62,0,0,58,28,0,0.174,5.14,0.183,0.9093,0.2874,-0.5927,0
139,8,41.7,0.7,9,50.4,3002,6,0,2150,5,52,0,7,15,0,0,0.211,0.0,0.4,0.8773,0.9296,-0.154,0
140,3,34.7,0.58,55,95.7,5726,22,1,2243,70,0,4,1,16,0,1,0.201,1.58,0.285,0.9401,0.8997,0.4635,0
141,6,42.4,0.71,28,119.28,7123,27,1,1170,38,104,10,10,43,57,0,0.278,1.71,0.229,0.0408,0.5613,0.5686,0
142,4,91.1,1.52,24,145.92,8746,28,3,2670,20,39,28,12,0,19,0,0.084,7.56,0.2,0.2965,0.2258,-1.1851,0
143,14,66.1,1.1,1,15.4,925,31,2,2350,31,41,17,15,218,0,0,0.181,4.2,0.281,0.7924,0.8911,0.7901,0
144,5,53.3,0.89,22,97.9,5863,8,0,2520,16,20,7,33,0,24,0,0.058,0.0,0.257,0.2437,0.5648,-1.3044,0
145,8,24.6,0.41,19,62.32,3739,6,1,2428,54,149,11,14,99,21,2,0.363,1.41,0.216,0.9878,0.882,-0.9771,0
146,6,74.2,1.24,22,163.68,9794,0,3,1311,24,0,9,4,0,4,0,0.096,6.72,0.34,0.2795,0.5988,0.7074,0
147,4,63.7,1.06,17,72.08,4332,21,1,2146,24,35,10,0,41,32,1,0.097,2.06,0.383,0.0254,0.5609,0.5745,0
148,6,59.7,1.0,1,6.0,358,21,3,1935,11,71,10,24,0,7,0,0.148,6.0,0.309,0.0992,0.9625,-0.1897,0
149,4,41.1,0.68,22,59.84,3617,14,0,700,19,51,9,0,0,0,0,0.38,0.0,0.321,0.3818,0.82,0.3159,0
150,5,38.6,0.64,1,3.2,193,1,0,2156,45,40,13,29,108,48,1,0.0,0.0,0.187,0.547,0.2334,0.0765,0
151,8,61.1,1.02,20,163.2,9776,17,1,3572,22,0,2,0,145,20,1,0.358,2.02,0.302,0.1395,0.4413,-0.5306,0
152,2,58.9,0.98,28,54.88,3298,30,1,957,35,0,19,6,0,0,1,0.273,1.98,0.147,0.3159,0.4344,0.2383,0
153,6,38.7,0.64,14,53.76,3251,23,1,1453,6,52,0,12,0,47,1,0.231,1.64,0.27,0.0274,0.4611,-0.8913,0
154,4,40.0,0.67,3,8.04,480,11,0,3163,50,70,16,14,112,35,0,0.28,0.0,0.379,0.5385,0.3829,-0.1141,0
155,10,57.0,0.95,56,532.0,31920,16,2,2139,32,31,44,18,0,34,0,0.374,3.9,0.284,0.7088,0.3273,1.3988,1
156,10,48.4,0.81,16,129.6,7744,40,1,2129,16,26,19,14,0,42,2,0.228,1.81,0.47,0.7902,0.3106,-0.9555,0
157,6,78.0,1.3,19,148.2,8892,7,0,1920,9,67,4,0,0,49,0,0.368,0.0,0.296,0.1487,0.7104,0.266,0
158,6,29.6,0.49,16,47.04,2842,16,0,1636,48,0,20,17,72,0,0,0.0,0.0,0.243,0.2968,0.7244,-1.0909,0
159,7,33.1,0.55,22,84.7,5097,16,1,1552,61,26,0,0,135,15,1,0.509,1.55,0.448,0.152,0.5114,-1.4322,0
160,5,67.6,1.13,1,5.65,338,19,0,1769,9,3,5,1,10,15,0,0.315,0.0,0.243,0.686,0.9852,0.2808,0
161,4,54.1,0.9,19,68.4,4112,0,1,2655,42,77,27,3,262,19,0,0.128,1.9,0.359,0.8961,0.3749,0.2463,0
162,8,36.3,0.6,57,273.6,16553,27,1,3655,21,118,9,16,5,25,2,0.231,1.6,0.374,0.045,0.0634,-1.4812,0
163,4,54.3,0.9,1,3.6,217,2,1,2549,61,45,21,13,0,25,0,0.067,1.9,0.366,0.0003,0.2905,-0.152,0
164,5,56.9,0.95,19,90.25,5406,39,0,1492,10,22,8,16,0,31,1,0.16,0.0,0.158,0.3884,0.0179,1.2572,0
165,10,27.0,0.45,23,103.5,6210,8,2,1930,21,93,15,9,0,0,0,0.294,2.9,0.413,0.9789,0.5722,-0.3297,1
166,5,50.2,0.84,15,63.0,3765,2,3,1484,56,76,30,9,48,0,0,0.206,5.52,0.335,0.0875,0.1744,0.1821,1
167,5,57.7,0.96,18,86.4,5193,22,3,1870,46,99,16,7,0,12,1,0.099,5.88,0.151,0.9567,0.5678,-0.9497,1
168,9,75.2,1.25,28,315.0,18950,18,1,2493,5,17,0,14,148,18,0,0.369,2.25,0.321,0.8529,0.2593,0.7762,0
169,8,42.3,0.7,34,190.4,11506,13,4,2245,2,106,0,10,96,47,1,0.447,6.8,0.395,0.3855,0.4885,1.5711,0
170,14,113.2,1.89,12,317.52,19018,21,0,727,45,29,30,44,0,52,0,0.16,0.0,0.522,0.3511,0.7432,-1.0286,1
171,15,118.5,1.98,35,1039.5,62212,14,0,1713,18,55,6,0,53,0,0,0.201,0.0,0.434,0.1455,0.8175,-0.4095,0
172,6,8.8,0.15,28,25.2,1478,3,0,3318,25,15,1,20,0,21,1,0.0,0.0,0.24,0.456,0.6112,-0.039,0
173,6,52.8,0.88,17,89.76,5386,30,1,3107,29,40,0,13,0,0,1,0.599,1.88,0.214,0.805,0.2193,0.125,0
174,4,56.8,0.95,18,68.4,4090,39,2,1481,14,0,4,4,122,47,1,0.411,3.9,0.194,0.2533,0.4429,-1.1526,0
175,14,49.1,0.82,18,206.64,12373,12,2,1716,45,0,5,17,92,4,0,0.044,3.64,0.221,0.892,0.5914,0.683,1
176,2,49.1,0.82,28,45.92,2750,22,0,3223,90,19,0,1,41,0,1,0.057,0.0,0.331,0.2967,0.487,0.5146,0
177,10,67.6,1.13,1,11.3,676,1,1,1471,39,70,26,4,304,0,0,0.499,2.13,0.335,0.2173,0.2047,2.0408,0
178,11,51.5,0.86,16,151.36,9064,14,0,699,47,12,12,7,0,10,1,0.163,0.0,0.228,0.7909,0.4325,1.2977,0
179,15,119.9,2.0,10,300.0,17985,1,0,2413,38,0,21,16,137,25,0,0.406,0.0,0.405,0.1456,0.4115,-1.1347,1
180,9,59.6,0.99,40,356.4,21456,15,0,1652,34,62,16,0,139,32,0,0.0,0.0,0.247,0.6552,0.7456,0.5183,0
181,6,48.7,0.81,32,155.52,9350,21,0,1510,34,108,14,20,46,9,1,0.302,0.0,0.438,0.692,0.841,-2.1565,0
182,3,66.2,1.1,23,75.9,4568,11,1,1455,22,56,0,2,24,0,1,0.161,2.1,0.39,0.7493,0.9938,-0.5049,0
183,9,75.7,1.26,17,192.78,11582,0,2,3739,42,0,0,23,354,49,2,0.503,4.52,0.346,0.764,0.0616,0.8097,1
184,4,81.1,1.35,17,91.8,5515,37,1,2389,18,128,0,19,161,42,0,0.051,2.35,0.345,0.9323,0.2411,0.1223,0
185,7,51.1,0.85,28,166.6,10016,14,0,2232,71,30,0,13,57,20,0,0.28,0.0,0.422,0.7589,0.9599,-0.6865,0
186,1,67.4,1.12,1,1.12,67,22,2,2353,52,65,26,19,249,18,1,0.359,4.24,0.229,0.6014,0.0315,1.39,1
187,10,32.5,0.54,12,64.8,3900,9,1,1729,4,69,10,10,124,0,1,0.185,1.54,0.387,0.7151,0.769,0.4044,0
188,1,85.9,1.43,2,2.86,172,37,0,1815,27,52,14,16,0,7,0,0.272,0.0,0.409,0.3604,0.6862,-0.9536,0
189,12,76.5,1.27,9,137.16,8262,19,1,1865,10,54,7,0,0,7,0,0.672,2.27,0.568,0.7084,0.5919,-0.6602,0
190,3,36.5,0.61,21,38.43,2300,16,0,1652,1,8,21,0,2,5,3,0.0,0.0,0.311,0.5278,0.6148,0.7345,0
191,6,52.3,0.87,24,125.28,7531,26,2,2067,44,38,24,20,48,13,0,0.093,3.74,0.231,0.3973,0.0342,-0.3738,0
192,10,31.0,0.52,35,182.0,10850,23,6,1170,40,0,16,8,95,2,0,0.351,9.12,0.216,0.9777,0.7484,-0.0566,1
